date,bid_rate,ask_rate
2023-11-27,4.3202,4.4074
2023-11-28,4.3104,4.3974
2023-11-29,4.2983,4.3851
2023-11-30,4.2895,4.3761
2023-12-01,4.3136,4.4008
2023-12-04,4.2944,4.3812
2023-12-05,4.2903,4.3769
2023-12-06,4.2776,4.364
2023-12-07,4.2894,4.376
2023-12-08,4.2905,4.3771
